DAM Result For 2024-06-03
Date;Hour;Price (BGN);Volume
2024-06-03;00:00:00;180,25;2203,5
2024-06-03;01:00:00;176,90;2163,2
2024-06-03;02:00:00;175,71;2174,1
2024-06-03;03:00:00;172,82;2195,3
2024-06-03;04:00:00;168,53;2239,6
2024-06-03;05:00:00;198,54;2270,6
2024-06-03;06:00:00;254,88;2165,6
2024-06-03;07:00:00;377,34;3386,3
2024-06-03;08:00:00;289,35;3332
2024-06-03;09:00:00;186,10;3383,6
2024-06-03;10:00:00;176,96;3329,3
2024-06-03;11:00:00;171,94;3381,6
2024-06-03;12:00:00;163,04;3252,3
2024-06-03;13:00:00;160,16;3004,1
2024-06-03;14:00:00;157,29;2580,3
2024-06-03;15:00:00;173,42;2313,8
2024-06-03;16:00:00;193,04;2275,9
2024-06-03;17:00:00;249,07;2118,7
2024-06-03;18:00:00;321,30;2202
2024-06-03;19:00:00;384,44;2525,3
2024-06-03;20:00:00;414,69;2559,4
2024-06-03;21:00:00;376,58;3081,3
2024-06-03;22:00:00;286,84;2298,1
2024-06-03;23:00:00;233,23;2216,6
